,INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat,ZipCode
0,201575314,08/23/2019,22:10:00,QUEENS,103,0.0,BEAUTY/NAIL SALON,False,UNKNOWN,M,WHITE,25-44,M,BLACK,1037451,193561,40.6978053080001,-73.808140717,POINT (-73.80814071699996 40.697805308000056),11435
1,205748546,11/27/2019,15:54:00,BRONX,40,0.0,MULTI DWELL - APT BUILD,False,<18,M,BLACK,25-44,F,BLACK,1006789,237559,40.8186997300001,-73.9185706179999,POINT (-73.91857061799993 40.81869973000005),10451
2,193118596,02/02/2019,19:40:00,MANHATTAN,23,0.0,MULTI DWELL - APT BUILD,False,18-24,M,WHITE HISPANIC,18-24,M,BLACK HISPANIC,999347,227795,40.7919160910001,-73.94547966,POINT (-73.94547965999999 40.791916091000076),10029
3,204192600,10/24/2019,00:52:00,STATEN ISLAND,121,0.0,PVT HOUSE,True,25-44,M,BLACK,25-44,F,BLACK,938149,171781,40.6380639820001,-74.1661083019999,POINT (-74.16610830199996 40.63806398200006),10303
4,201483468,08/22/2019,18:03:00,BRONX,46,0.0,MULTI DWELL - APT BUILD,False,25-44,M,BLACK HISPANIC,18-24,M,BLACK,1008224,250621,40.854547349,-73.913339444,POINT (-73.91333944399999 40.85454734900003),10453
5,198255460,06/07/2019,17:50:00,BROOKLYN,73,0.0,GROCERY/BODEGA,False,45-64,M,WHITE HISPANIC,25-44,M,BLACK,1009650,186966,40.679827016,-73.908425239,POINT (-73.90842523899994 40.67982701600005),11233
6,194570529,03/11/2019,16:30:00,BROOKLYN,81,0.0,PVT HOUSE,False,18-24,M,BLACK,25-44,M,BLACK,1001181,189778,40.6875655630001,-73.9389519759999,POINT (-73.93895197599994 40.68756556300008),11221
7,203211777,10/03/2019,01:45:00,BROOKLYN,67,0.0,MULTI DWELL - APT BUILD,True,18-24,M,BLACK,25-44,M,BLACK,1004729,174146,40.644651706,-73.9262061539999,POINT (-73.92620615399994 40.64465170600005),11203
8,193694863,02/17/2019,03:00:00,QUEENS,114,2.0,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,25-44,M,BLACK,999484,214810,40.756275434,-73.945014329,POINT (-73.94501432899995 40.75627543400003),11101
9,199582060,07/10/2019,02:56:00,BROOKLYN,69,0.0,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,25-44,M,BLACK,1012579,175845,40.6492934620001,-73.8979118679999,POINT (-73.89791186799994 40.64929346200006),11236
10,197997726,06/03/2019,23:05:00,BRONX,46,0.0,MULTI DWELL - APT BUILD,False,18-24,M,BLACK,18-24,M,WHITE HISPANIC,1013293,252852,40.8606555530001,-73.895006204,POINT (-73.89500620399997 40.86065555300008),10458
11,204464564,11/04/2019,13:40:00,BRONX,40,0.0,MULTI DWELL - APT BUILD,False,45-64,M,BLACK,25-44,M,WHITE HISPANIC,1008120,238322,40.820790453,-73.913759155,POINT (-73.91375915499998 40.82079045300003),10451
12,205908100,12/02/2019,11:50:00,BROOKLYN,67,0.0,MULTI DWELL - PUBLIC HOUS,False,25-44,F,BLACK,25-44,M,BLACK,1004359,173694,40.643411912,-73.9275407809999,POINT (-73.92754078099995 40.64341191200003),11203
13,197953462,06/01/2019,14:14:00,QUEENS,101,0.0,BAR/NIGHT CLUB,False,18-24,M,BLACK,45-64,F,WHITE,1052809,159159,40.603274007,-73.7531045329999,POINT (-73.75310453299994 40.60327400700004),11691
14,201436772,08/21/2019,23:34:00,STATEN ISLAND,120,0.0,GROCERY/BODEGA,False,<18,M,WHITE HISPANIC,<18,M,WHITE HISPANIC,951232,170429,40.6344114670001,-74.118962299,POINT (-74.11896229899997 40.634411467000064),10310
15,196542452,04/27/2019,23:54:00,BROOKLYN,67,0.0,MULTI DWELL - APT BUILD,False,18-24,M,BLACK,25-44,M,WHITE HISPANIC,996876,177505,40.65388611,-73.954497844,POINT (-73.95449784399995 40.65388611000003),11226
